x,y
15,120
16,120
17,120
18,121
19,121
20,122
21,123
22,123
23,123
24,123
25,123
26,123
27,123
28,123
29,123
30,123
31,123
32,124
33,124
34,124
35,124
36,124
37,124
38,124
39,124
40,124
41,124
42,124
43,124
44,124
45,124
46,124
47,124
48,124
49,123
50,123
51,123
52,123
53,123
54,123
55,122
56,122
57,122
58,121
59,121
60,120
61,120
62,120
63,120
64,119
65,119
66,119
67,118
68,118
69,117
70,116
71,115
72,114
73,114
74,113
75,112
76,112
77,111
78,110
79,109
80,107
81,106
82,106
83,105
84,104
85,103
86,102
87,102
88,101
89,100
90,99
91,98
92,97
93,95
94,94
95,92
96,90
97,89
98,88
99,87
100,85
101,84
102,83
103,81
104,79
105,78
106,76
107,74
108,70
109,68
110,66
111,64
112,63
113,61
114,59
115,57
116,53
117,51
118,49
119,49
120,47
121,44
122,41
123,40
124,39
125,39
126,39
127,39
128,39
129,40
130,40
131,41
132,42
133,42
134,44
135,45
136,47
137,49
138,51
139,52
140,53
141,53
142,55
143,56
144,57
145,58
146,59
147,60
148,61
149,63
150,64
151,64
152,65
153,66
154,66
155,66
156,67
157,68
158,68
159,68
160,68
161,68
162,69
163,69
164,70
165,73
166,75
167,76
168,77
169,78
170,79
171,80
172,81
173,81
174,82
175,83
176,83
177,84
178,86
179,87
180,87
181,89
182,90
183,91
184,92
185,93
186,95
187,96
188,97
189,98
190,100
191,100
192,101
193,102
194,102
195,103
196,104
197,105
198,106
199,106
200,107
201,108
202,109
203,110
204,110
205,111
206,112
207,112
208,113
209,114
210,115
211,115
212,116
213,116
214,117
215,118
216,119
217,119
218,120
219,120
220,120
221,121
222,121
223,122
224,122
225,122
226,122
227,123
228,123
229,123
230,123
231,123
232,123
233,123
234,123
235,123
236,123
237,123
238,123
239,123
240,123
241,123
242,123
243,123
244,123
245,123
246,123
247,123
248,123
249,123
250,123
251,123
252,122
253,122
254,122
255,122
256,122
257,121
258,121
259,120
260,120
261,119
262,119
263,119
264,119
265,118
266,118
267,117
268,116
269,115
270,115
271,114
272,113
273,112
274,112
275,111
276,110
277,110
278,109
279,109
280,108
281,108
282,107
283,107
284,106
285,104
286,103
287,103
288,102
289,101
290,100
291,100
292,99
293,98
294,97
295,97
296,95
297,94
298,93
299,91
300,90
301,90
302,89
303,88
304,87
305,86
306,85
307,84
308,83
309,81
310,81
311,78
312,77
313,75
314,74
315,73
316,72
317,70
318,68
319,67
320,66
321,64
322,63
323,61
324,58
325,56
326,54
327,52
328,51
329,50
330,49
331,47
